site,rising_percentage,stable_percentage,falling_percentage
#981,26.31578947368421,31.57894736842105,42.10526315789473
#984,10.344827586206897,20.689655172413794,68.96551724137932
#985,28.57142857142857,17.857142857142858,53.57142857142857
#989,14.285714285714285,53.57142857142857,32.142857142857146
#1009,32.142857142857146,32.142857142857146,35.714285714285715
#1010,28.57142857142857,57.14285714285714,14.285714285714285
#2524601,6.666666666666667,13.333333333333334,80.0
#2411805,0.0,79.3103448275862,20.689655172413794
#2418401,16.666666666666664,13.333333333333334,70.0
#2434401,20.689655172413794,48.275862068965516,31.03448275862069
#2433703,0.0,17.24137931034483,82.75862068965517
#2409801,16.666666666666664,46.666666666666664,36.666666666666664
#2417801,34.48275862068966,34.48275862068966,31.03448275862069
#2409901,20.689655172413794,20.689655172413794,58.620689655172406
#2428401,3.3333333333333335,40.0,56.666666666666664
#2418102,0.0,31.25,68.75
#2418901,3.571428571428571,42.857142857142854,53.57142857142857
#2418301,3.3333333333333335,56.666666666666664,40.0
#2418202,17.24137931034483,34.48275862068966,48.275862068965516
#2418201,3.3333333333333335,26.666666666666668,70.0
#2419902,3.8461538461538463,19.230769230769234,76.92307692307693
#2419601,3.4482758620689653,44.827586206896555,51.724137931034484
#2427201,3.3333333333333335,30.0,66.66666666666666
#2426501,23.333333333333332,43.333333333333336,33.33333333333333
#2516902,13.333333333333334,70.0,16.666666666666664
#2434801,10.344827586206897,79.3103448275862,10.344827586206897
#2419301,0.0,14.285714285714285,85.71428571428571
#2435401,16.666666666666664,70.0,13.333333333333334
#2426101,30.0,33.33333333333333,36.666666666666664
#2411803,3.4482758620689653,41.37931034482759,55.172413793103445
#2410702,7.4074074074074066,37.03703703703704,55.55555555555556
#2409401,10.344827586206897,44.827586206896555,44.827586206896555
#2418601,14.814814814814813,22.22222222222222,62.96296296296296
#2427301,0.0,37.93103448275862,62.06896551724138
#2540601,0.0,10.344827586206897,89.65517241379311
#2516903,23.333333333333332,20.0,56.666666666666664
#2516603,6.666666666666667,30.0,63.33333333333333
#2435601,0.0,100.0,0.0
#2418103,0.0,20.0,80.0
#2410903,10.344827586206897,68.96551724137932,20.689655172413794
#2410503,3.3333333333333335,93.33333333333333,3.3333333333333335
#2419702,13.333333333333334,50.0,36.666666666666664
#2328602,21.428571428571427,21.428571428571427,57.14285714285714
#2316801,28.000000000000004,44.0,28.000000000000004
#2321303,21.428571428571427,42.857142857142854,35.714285714285715
#2320509,0.0,20.689655172413794,79.3103448275862
#2330402,43.333333333333336,23.333333333333332,33.33333333333333
#2329702,25.0,28.57142857142857,46.42857142857143
#2329201,33.33333333333333,16.666666666666664,50.0
#2321801,13.333333333333334,26.666666666666668,60.0
#2330103,14.849290780141844,70.65602836879432,14.49468085106383
#2315701,6.666666666666667,60.0,33.33333333333333
#2315606,20.0,30.0,50.0
#2314602,0.0,34.48275862068966,65.51724137931035
#2314403,0.0,20.0,80.0
#2320305,3.3333333333333335,20.0,76.66666666666667
#2329602,50.0,20.0,30.0
#2328901,17.857142857142858,17.857142857142858,64.28571428571429
#2312902,3.3333333333333335,23.333333333333332,73.33333333333333
#2321706,6.666666666666667,20.0,73.33333333333333
#2330502,26.666666666666668,73.33333333333333,0.0
#2330901,58.620689655172406,31.03448275862069,10.344827586206897
#2323302,13.333333333333334,63.33333333333333,23.333333333333332
#2330201,6.666666666666667,66.66666666666666,26.666666666666668
#2320201,0.0,10.0,90.0
#2328310,0.0,20.0,80.0
#2321101,20.0,20.0,60.0
#2331201,9.090909090909092,45.45454545454545,45.45454545454545
#2315501,22.22222222222222,37.03703703703704,40.74074074074074
#2313502,3.4482758620689653,24.137931034482758,72.41379310344827
#2312801,0.0,10.344827586206897,89.65517241379311
#2322305,3.3333333333333335,60.0,36.666666666666664
#2324505,23.333333333333332,46.666666666666664,30.0
#2336301,44.827586206896555,41.37931034482759,13.793103448275861
#2331101,0.0,96.66666666666667,3.3333333333333335
#2316501,13.333333333333334,36.666666666666664,50.0
#2329302,13.333333333333334,50.0,36.666666666666664
#148902,12.0,16.0,72.0
#254802,33.33333333333333,22.22222222222222,44.44444444444444
#233501,0.0,23.076923076923077,76.92307692307693
#249201,10.0,15.0,75.0
#241304,22.22222222222222,18.51851851851852,59.25925925925925
#2809301,28.57142857142857,14.285714285714285,57.14285714285714
#2826206,37.03703703703704,44.44444444444444,18.51851851851852
#2732502,29.629629629629626,25.925925925925924,44.44444444444444
#2716605,0.0,17.857142857142858,82.14285714285714
#2708503,10.0,20.0,70.0
#2801801,60.0,20.0,20.0
#2724704,46.42857142857143,28.57142857142857,25.0
#2724703,35.714285714285715,35.714285714285715,28.57142857142857
#2827201,34.48275862068966,44.827586206896555,20.689655172413794
#2732703,11.11111111111111,48.148148148148145,40.74074074074074
#2817702,19.230769230769234,19.230769230769234,61.53846153846154
#2809414,3.7037037037037033,18.51851851851852,77.77777777777779
#2803402,39.285714285714285,21.428571428571427,39.285714285714285
#2801504,21.428571428571427,35.714285714285715,42.857142857142854
#2827101,17.857142857142858,17.857142857142858,64.28571428571429
#2707901,7.142857142857142,10.714285714285714,82.14285714285714
#2707801,3.571428571428571,25.0,71.42857142857143
#2724202,75.0,17.857142857142858,7.142857142857142
#2809602,20.0,28.000000000000004,52.0
#2802901,44.44444444444444,33.33333333333333,22.22222222222222
#2802501,29.629629629629626,25.925925925925924,44.44444444444444
#2818201,10.714285714285714,25.0,64.28571428571429
#2826802,50.0,42.30769230769231,7.6923076923076925
#2825903,25.0,32.142857142857146,42.857142857142854
#2819703,35.714285714285715,53.57142857142857,10.714285714285714
#2819101,32.0,36.0,32.0
#2818902,40.74074074074074,22.22222222222222,37.03703703703704
#2818801,40.74074074074074,29.629629629629626,29.629629629629626
#2715201,11.11111111111111,14.814814814814813,74.07407407407408
#2708801,7.4074074074074066,14.814814814814813,77.77777777777779
#2724101,21.428571428571427,50.0,28.57142857142857
#2817501,14.285714285714285,32.142857142857146,53.57142857142857
#2810402,32.142857142857146,17.857142857142858,50.0
#2827801,26.923076923076923,23.076923076923077,50.0
#2810801,20.0,20.0,60.0
#2826401,74.07407407407408,18.51851851851852,7.4074074074074066
#2732601,81.48148148148148,18.51851851851852,0.0
#2818301,28.57142857142857,28.57142857142857,42.857142857142854
#2818501,21.428571428571427,25.0,53.57142857142857
#2716702,21.428571428571427,28.57142857142857,50.0
#2809101,3.7037037037037033,25.925925925925924,70.37037037037037
#2716201,7.142857142857142,17.857142857142858,75.0
#2724902,53.84615384615385,15.384615384615385,30.76923076923077
#2708602,22.22222222222222,14.814814814814813,62.96296296296296
#2732101,25.925925925925924,18.51851851851852,55.55555555555556
#2731804,29.629629629629626,44.44444444444444,25.925925925925924
#2802404,37.03703703703704,22.22222222222222,40.74074074074074
#2708701,14.285714285714285,14.285714285714285,71.42857142857143
#2707501,11.538461538461538,11.538461538461538,76.92307692307693
#2716202,0.0,19.230769230769234,80.76923076923077
#2809901,1.185770750988142,91.30434782608695,7.5098814229249005
#2809710,17.857142857142858,10.714285714285714,71.42857142857143
#1013305,0.0,26.666666666666668,73.33333333333333
#1014704,0.0,83.33333333333334,16.666666666666664
#753701,3.3333333333333335,40.0,56.666666666666664
#762301,13.333333333333334,80.0,6.666666666666667
#1003902,0.0,34.78260869565217,65.21739130434783
#1009801,0.0,84.0,16.0
#1013104,6.666666666666667,10.0,83.33333333333334
#752616,11.11111111111111,62.96296296296296,25.925925925925924
#753902,6.896551724137931,55.172413793103445,37.93103448275862
#754702,0.0,17.24137931034483,82.75862068965517
#754901,0.0,46.666666666666664,53.333333333333336
#755701,13.793103448275861,17.24137931034483,68.96551724137932
#757201,31.25,43.75,25.0
#757502,26.08695652173913,47.82608695652174,26.08695652173913
#758601,16.666666666666664,54.166666666666664,29.166666666666668
#759201,4.166666666666666,45.83333333333333,50.0
#759501,10.714285714285714,25.0,64.28571428571429
#759602,23.076923076923077,19.230769230769234,57.692307692307686
#759801,8.0,44.0,48.0
#760101,20.0,33.33333333333333,46.666666666666664
#760201,7.4074074074074066,33.33333333333333,59.25925925925925
#760502,16.666666666666664,33.33333333333333,50.0
#760901,0.0,13.333333333333334,86.66666666666667
#761224,3.3333333333333335,30.0,66.66666666666666
#761601,3.225806451612903,16.129032258064516,80.64516129032258
#761802,0.0,10.0,90.0
#762502,6.666666666666667,23.333333333333332,70.0
#762601,23.333333333333332,16.666666666666664,60.0
#762823,0.0,20.689655172413794,79.3103448275862
#763702,3.3333333333333335,26.666666666666668,70.0
#916901,13.333333333333334,83.33333333333334,3.3333333333333335
#1001401,19.230769230769234,53.84615384615385,26.923076923076923
#1002802,39.130434782608695,34.78260869565217,26.08695652173913
#1003903,6.666666666666667,50.0,43.333333333333336
#1004202,7.6923076923076925,30.76923076923077,61.53846153846154
#1004301,0.0,26.923076923076923,73.07692307692307
#1004504,0.0,65.51724137931035,34.48275862068966
#1005225,3.4482758620689653,20.689655172413794,75.86206896551724
#1005905,7.142857142857142,21.428571428571427,71.42857142857143
#1006101,14.285714285714285,17.857142857142858,67.85714285714286
#1006302,3.4482758620689653,34.48275862068966,62.06896551724138
#1006403,0.0,10.714285714285714,89.28571428571429
#1006602,22.22222222222222,44.44444444444444,33.33333333333333
#1006909,10.714285714285714,53.57142857142857,35.714285714285715
#1007805,3.571428571428571,67.85714285714286,28.57142857142857
#1009101,34.61538461538461,30.76923076923077,34.61538461538461
#1009601,6.25,37.5,56.25
#1010101,22.22222222222222,55.55555555555556,22.22222222222222
#1010701,23.333333333333332,66.66666666666666,10.0
#1011802,13.793103448275861,48.275862068965516,37.93103448275862
#1012203,0.0,58.620689655172406,41.37931034482759
#1012302,6.896551724137931,27.586206896551722,65.51724137931035
#1012404,13.333333333333334,56.666666666666664,30.0
#1012504,17.24137931034483,17.24137931034483,65.51724137931035
#1012703,17.857142857142858,42.857142857142854,39.285714285714285
#1013404,0.0,23.333333333333332,76.66666666666667
#1013806,6.666666666666667,16.666666666666664,76.66666666666667
#1014513,0.0,100.0,0.0
#1014206,0.0,46.666666666666664,53.333333333333336
#1013307,6.666666666666667,26.666666666666668,66.66666666666666
#1004603,0.0,35.714285714285715,64.28571428571429
#758901,10.344827586206897,72.41379310344827,17.24137931034483
#760302,4.545454545454546,45.45454545454545,50.0
#1014901,6.666666666666667,90.0,3.3333333333333335
#1021201,6.666666666666667,30.0,63.33333333333333
#1011404,3.3333333333333335,93.33333333333333,3.3333333333333335
#1009401,22.727272727272727,31.818181818181817,45.45454545454545
#1004901,1.2863268222963316,97.23677941877085,1.4768937589328253
#752502,37.93103448275862,27.586206896551722,34.48275862068966
#759301,3.8461538461538463,50.0,46.15384615384615
#1002301,16.0,60.0,24.0
#763202,27.586206896551722,20.689655172413794,51.724137931034484
#759802,12.0,24.0,64.0
#750701,18.51851851851852,55.55555555555556,25.925925925925924
#751902,30.0,30.0,40.0
#760301,3.3333333333333335,66.66666666666666,30.0
#760401,0.0,50.0,50.0
#761902,0.0,10.714285714285714,89.28571428571429
#762101,23.333333333333332,43.333333333333336,33.33333333333333
#1002901,30.76923076923077,42.30769230769231,26.923076923076923
#1003201,3.4482758620689653,37.93103448275862,58.620689655172406
#1003501,11.11111111111111,77.77777777777779,11.11111111111111
#1005502,0.0,21.428571428571427,78.57142857142857
#1007701,10.344827586206897,79.3103448275862,10.344827586206897
#550903,42.857142857142854,39.285714285714285,17.857142857142858
#1201306,21.62162162162162,10.81081081081081,67.56756756756756
#1211404,22.857142857142858,31.428571428571427,45.714285714285715
#1211207,30.76923076923077,28.205128205128204,41.02564102564102
#557101,17.391304347826086,34.78260869565217,47.82608695652174
#1202306,32.142857142857146,28.57142857142857,39.285714285714285
#1203904,25.925925925925924,18.51851851851852,55.55555555555556
#550502,33.33333333333333,38.095238095238095,28.57142857142857
#550701,28.57142857142857,42.857142857142854,28.57142857142857
#557803,25.925925925925924,40.74074074074074,33.33333333333333
#558303,26.08695652173913,21.73913043478261,52.17391304347826
#559403,26.923076923076923,26.923076923076923,46.15384615384615
#1201502,26.666666666666668,30.0,43.333333333333336
#1202813,0.0,33.33333333333333,66.66666666666666
#1202931,22.5,37.5,40.0
#664501,3.8461538461538463,23.076923076923077,73.07692307692307
#1202812,14.285714285714285,21.428571428571427,64.28571428571429
#1108203,4.761904761904762,14.285714285714285,80.95238095238095
#1203207,3.7037037037037033,48.148148148148145,48.148148148148145
#1204805,26.666666666666668,26.666666666666668,46.666666666666664
#1210218,15.0,35.0,50.0
#551715,33.33333333333333,40.0,26.666666666666668
#664811,6.666666666666667,26.666666666666668,66.66666666666666
#1108308,10.81081081081081,24.324324324324326,64.86486486486487
#1203807,0.0,50.0,50.0
#1201624,22.58064516129032,19.35483870967742,58.06451612903226
#551801,22.22222222222222,44.44444444444444,33.33333333333333
#1108201,6.451612903225806,25.806451612903224,67.74193548387096
#1201102,10.0,46.666666666666664,43.333333333333336
#1201206,14.705882352941178,26.47058823529412,58.82352941176471
#1201301,21.62162162162162,21.62162162162162,56.75675675675676
#1201617,37.93103448275862,31.03448275862069,31.03448275862069
#1201904,20.689655172413794,37.93103448275862,41.37931034482759
#1210305,18.91891891891892,29.72972972972973,51.35135135135135
#1210401,25.925925925925924,48.148148148148145,25.925925925925924
#1211310,30.23255813953488,30.23255813953488,39.53488372093023
#2313303,0.0,20.0,80.0
#1163401,13.333333333333334,73.33333333333333,13.333333333333334
#1146701,3.4482758620689653,68.96551724137932,27.586206896551722
#1160605,3.3333333333333335,16.666666666666664,80.0
