site,slope
#2420202,-0.0003098450138257977
#2415802,-0.0005796453560142495
#2437502,-0.00019101983612110351
#2421702,-0.00041008860736121283
#2420901,-0.0008780907168020671
#2420102,-0.00038566805162581347
#2430901,-0.0004086098511975611
#2420701,-0.00025074429281032873
#2414701,-0.0010005681705601635
#2415701,-0.0006771627427895749
#2439901,-0.00039617105099632594
#2428203,0.0004464770541851284
#2439302,-0.00046167398027075965
#2844507,-0.003925910051756782
#2835301,-0.0027320214551310555
#2846401,-0.0003909219285508443
#2837401,0.001907942382602423
#605601,-0.0022919965405803905
#362805,-0.0009224343972647573
#391006000000000,0.0005918628008716453
#391622000000000,0.0010021756322867743
#391822000000000,-0.0004234192508415389
#391544000000000,0.0004151194125969057
#381716000000000,-0.00047983107562388043
#383458000000000,0.00025093070963339795
#383448000000000,-0.00037424991355413176
#383839000000000,0.00022890209660633232
#381444000000000,0.0008234636510680931
#373917000000000,-0.0002664385597834028
#380131000000000,0.00045861839765859767
#375759000000000,0.0003314746867370091
#374717000000000,0.0003837522644151998
#381701000000000,0.000521497185706371
#373529000000000,0.0007947446369139634
#381725000000000,0.0003290155970739438
#373233000000000,0.00018852973422828938
#374908000000000,0.0003837156920834067
#372408000000000,0.0006100794527050729
#374653000000000,0.00022518327407280037
#373202000000000,0.0004133101622132195
#375910000000000,0.0004807938352545941
#382319000000000,0.000684975016694445
#382601000000000,0.001099749293177136
#380036000000000,0.0004541552869455158
#380712000000000,0.000559424307245568
#375801000000000,0.0004794277446662496
#381456000000000,0.0008148963813605564
#381109000000000,0.0007643372529185534
#374323000000000,0.00025158765712315163
#380338000000000,0.0004648008339803312
#370958000000000,-0.0015733071744089624
#372802000000000,-0.0006437757978380113
#375331000000000,-0.0020885204085250002
#373702000000000,-0.00039381729210868747
#372214000000000,-0.0023396904590123804
#375719000000000,0.0005006587907469724
#370217000000000,-0.0004014259111615572
#380510000000000,0.004287287160216893
#374544000000000,-0.0009245310741757187
#370322000000000,-0.000334548103576901
#371306000000000,-0.0012588861606299215
#373054000000000,-0.001405979020406253
#371621000000000,-0.001774002039464738
#373701000000000,0.00031925108725285554
#375454000000000,-0.0009942163616403106
#380344000000000,-0.0016798001856483612
#373528000000000,-0.00036087444696777937
#380005000000000,0.00036238298994535666
#374826000000000,-0.0027764882105912325
#371026000000000,-0.0019558686738639156
#978,0.0017600443288845503
#979,0.00042980580102402674
#803,-0.0011501610040457102
#809,0.0005324336861223886
#811,-0.0009249950155049303
#874,-0.0015815584377846942
#1040,-0.0009530627533777866
#902,0.0014698374173096867
#886,0.0008971103822137047
#849,-0.0010608969599142024
#796,-0.0013442172807626006
#797,0.0023632658389735857
#801,-0.0007884725446263372
#952,0.000948623108271115
#818,-0.001755742433290972
#1017,-0.001191246238482848
#752,-0.0003735454528080223
#840,-0.0006029996347904215
#821,0.004236045059188554
#881,-0.0010141810736578882
#1024,0.002378290972217146
#1035,-0.0016890567434115489
#866,0.0009026138754296507
#868,-0.0008954899007645291
#876,-0.00043310721244473396
#879,-0.0005081064308431358
#893,-0.0003663916669867581
#843,-0.0009316609704835693
#954,0.0001630165881173154
#949,0.0006885813030110692
#756,-0.00046827357414491906
#390740000000000,0.0001729791786587
#2406402,0.00039166807979738524
#2414301,0.0006953911069705037
#1053608,-0.0010277387670582436
#1055705,-0.0025355744606736647
#1055802,-0.001928854523307209
#1062603,-0.0005574708270864835
#1063601,-0.001091065614202696
#2414101,0.0003016525348398234
#1045702,-0.0007575044087614344
#2407101,-0.0003043803560212957
#1052601,-0.0007198728409912735
#1063801,-0.0003722241731830174
#1061201,-0.001571096411058414
#1045402,-0.0027753265686949607
#1046601,-0.0010461909336759393
#1053602,-0.0008762916203456123
#2408402,-0.0001956630306779927
#1062402,-0.0008611252442969133
#2405502,0.00024496792948817785
#2405102,-0.00039098089000031734
#1056403,-0.0009553958081027717
#1054301,-0.0015620525531342602
#2406102,0.00032283386782418905
#341010000000000,-0.0008989172148894159
#1052509,-0.0002565014431427839
#1052813,-0.00046679498818007117
#1053101,-0.0014121426325243332
#1054205,-0.0029768254262272104
#1054404,-0.0018659317567960715
#1055406,-0.001828016700160636
#1052406,-0.0010494820920066393
