site,slope,intercept
Site_150,-0.3940816326530613,-12.188367346938762
Site_151,-0.4213240163615115,-26.414012465913515
Site_152,-0.4216935509048714,-2.4141930045477835
Site_153,-0.36911602209944755,-54.45093922651934
Site_154,-0.4629331152509796,-2.886447105788406
Site_155,-0.4932258064516128,-46.573225806451646
Site_156,-0.4159550206892195,-42.77371553112859
Site_157,-0.42148648648648646,-34.07891891891893
Site_158,-0.3722502745110521,-5.713940705612757
Site_159,-0.4578100873485488,-51.743021132713466
Site_160,-0.4770759980759981,-20.4415844155844
Site_161,-0.36263157894736847,-47.611578947368415
Site_162,-0.3908771929824561,-21.020526315789482
Site_163,-0.44276769240906694,-18.602178439641534
Site_164,-0.3818690252836594,-38.796290538729565
Site_165,-0.38227162933684666,-14.79932806324112
Site_166,-0.41045375356350966,-39.661989230281904
Site_167,-0.4788325455463265,9.227829838006514
Site_168,-0.4054379905122095,-39.71539404936274
Site_169,-0.39625448859029305,-19.979030464496688
Site_170,-0.40541614189756503,-31.60011335012595
Site_171,-0.38877345911949684,-31.494932830188674
Site_172,-0.4963594871794872,-26.13635076923076
Site_173,-0.3630721947350531,-47.76640593722853
Site_174,-0.5143773933902689,-27.82448302770193
Site_175,-0.39202421799829346,-56.69276891236862
Site_176,-0.410142012033209,-20.209325400826856
Site_177,-0.3861270758785209,-73.3965516102395
Site_178,-0.3768597861958085,-35.38828618170537
Site_179,-0.42443075873569314,-14.022956113090288
Site_180,-0.4342857142857142,-48.57428571428572
Site_181,-0.3803251283600121,-20.129772274237396
Site_182,-0.3903195617605439,-35.470974659722515
Site_183,-0.45690476190476204,-17.968571428571394
Site_184,-0.40927992740942387,-27.895535679564446
Site_185,-0.4173684210526314,-45.428421052631634
Site_186,-0.37184890612424093,-53.85063627716394
Site_187,-0.3247382127192987,-53.56654605263148
Site_188,-0.44166898792943377,-15.109498607242315
Site_189,-0.3490017182130585,-22.59562886597938
Site_190,-0.45065681622088005,-10.108127696289912
Site_191,-0.4381953053365121,-3.759814047313384
Site_192,-0.537960038764109,-39.75063162695244
Site_193,-0.418,-4.561999999999998
Site_194,-0.5202371545618665,-36.84877461463684
Site_195,-0.45176056338028175,-50.33971830985912
Site_196,-0.3792674796747968,-41.66822439024389
Site_197,-0.5053412619988706,-18.536287408243936
Site_198,-0.43553820288445955,-27.40374817695674
Site_199,-0.3894422222222222,-50.20048
Site_200,-0.358170731707317,-19.535121951219537
Site_201,-0.4301869158878504,-33.74962616822431
Site_202,-0.40469939759036144,-17.47493012048193
Site_203,-0.4479813484708063,-23.19602873030584
Site_204,-0.32544081723295565,-23.984783477681574
Site_205,-0.418268278750952,-33.67405178979436
Site_206,-0.3714833149981665,-43.73960396039604
Site_207,-0.3541645516074444,-31.590456852792002
Site_208,-0.47668539857932124,-44.24595390686662
Site_209,-0.41712878249062463,-36.25018298202508
Site_210,-0.2263636363636365,-45.725454545454525
Site_211,-0.4582706998298396,-16.16352883675465
Site_212,-0.31481661333387684,-66.30961151988261
Site_213,-0.4189230124521073,-20.902629310344835
