site,slope,intercept,trend,h,p,z,Tau,s
Site_145,-0.43414066296424847,-8.185616799722325,decreasing,True,0.0,-30.220782211894715,-0.9721366863399196,-90922.0
Site_146,-0.36925686397327484,-30.220517381772638,decreasing,True,0.0,-30.06156478545608,-0.9670152253870499,-90443.0
Site_147,-0.41327586206896555,-13.922413793103445,decreasing,True,0.0,-30.067213669662042,-0.967196989136943,-90460.0
Site_148,-0.39149393220811823,-29.367310643046466,decreasing,True,0.0,-30.04096355287376,-0.9663523222992045,-90381.0
Site_149,-0.40968985324025725,-14.48699170010444,decreasing,True,0.0,-30.224446795555945,-0.9722542981780857,-90933.0
Site_150,-0.3940816326530613,-12.188367346938762,decreasing,True,0.0,-30.267650177603347,-0.9736442562655033,-91063.0
Site_151,-0.4213240163615115,-26.414012465913515,decreasing,True,0.0,-30.170921119333524,-0.9705328885467454,-90772.0
Site_152,-0.4216935509048714,-2.4141930045477835,decreasing,True,0.0,-30.36470326634853,-0.9767663159695492,-91355.0
Site_153,-0.36911602209944755,-54.45093922651934,decreasing,True,0.0,-30.091155362224395,-0.9679668120776665,-90532.0
Site_154,-0.4629331152509796,-2.886447105788406,decreasing,True,0.0,-29.887064307841847,-0.96140193311094,-89918.0
Site_155,-0.4932258064516128,-46.573225806451646,decreasing,True,0.0,-30.486686893241124,-0.9806902745701822,-91722.0
Site_156,-0.4159550206892195,-42.77371553112859,decreasing,True,0.0,-30.166601780406552,-0.9703938927380036,-90759.0
Site_157,-0.42148648648648646,-34.07891891891893,decreasing,True,0.0,-30.362705601621393,-0.9767021640578223,-91349.0
Site_158,-0.3722502745110521,-5.713940705612757,decreasing,True,0.0,-29.777049799156327,-0.9578628859806689,-89587.0
Site_159,-0.4578100873485488,-51.743021132713466,decreasing,True,0.0,-30.44879500037221,-0.9794713882473698,-91608.0
Site_160,-0.4770759980759981,-20.4415844155844,decreasing,True,0.0,-30.28360131572799,-0.9741574715593191,-91111.0
Site_161,-0.36263157894736847,-47.611578947368415,decreasing,True,0.0,-29.894046044714564,-0.9616264648019844,-89939.0
Site_162,-0.3908771929824561,-21.020526315789482,decreasing,True,0.0,-30.34310661927263,-0.9760713369258404,-91290.0
Site_163,-0.44276769240906694,-18.602178439641534,decreasing,True,0.0,-30.379658915137703,-0.9772474553075015,-91400.0
Site_164,-0.3818690252836594,-38.796290538729565,decreasing,True,0.0,-30.145666518396364,-0.9697202976648704,-90696.0
Site_165,-0.38227162933684666,-14.79932806324112,decreasing,True,0.0,-30.221777697632003,-0.9721687622957831,-90925.0
Site_166,-0.41045375356350966,-39.661989230281904,decreasing,True,0.0,-29.995428453824832,-0.9648875203147721,-90244.0
Site_167,-0.4788325455463265,9.227829838006514,decreasing,True,0.0,-30.185873443072285,-0.9710140278846976,-90817.0
Site_168,-0.4054379905122095,-39.71539404936274,decreasing,True,0.0,-30.034977303169935,-0.9661598665640236,-90363.0
Site_169,-0.39625448859029305,-19.979030464496688,decreasing,True,0.0,-30.347095240896603,-0.9761996407492943,-91302.0
Site_170,-0.40541614189756503,-31.60011335012595,decreasing,True,0.0,-30.3028829961097,-0.9747776067060132,-91169.0
Site_171,-0.38877345911949684,-31.494932830188674,decreasing,True,0.0,-30.332132883171585,-0.9757185014113421,-91257.0
Site_172,-0.4963594871794872,-26.13635076923076,decreasing,True,0.0,-30.483693744098407,-0.9805940467025918,-91713.0
Site_173,-0.3630721947350531,-47.76640593722853,decreasing,True,0.0,-30.120401923204618,-0.9689077067829954,-90620.0
Site_174,-0.5143773933902689,-27.82448302770193,decreasing,True,0.0,-30.495328903895437,-0.9809682661876657,-91748.0
Site_175,-0.39202421799829346,-56.69276891236862,decreasing,True,0.0,-29.59921887604818,-0.9521426738516808,-89052.0
Site_176,-0.410142012033209,-20.209325400826856,decreasing,True,0.0,-30.20151055162143,-0.9715165511932256,-90864.0
Site_177,-0.3861270758785209,-73.3965516102395,decreasing,True,0.0,-30.26897971792434,-0.9736870242066546,-91067.0
Site_178,-0.3768597861958085,-35.38828618170537,decreasing,True,0.0,-30.27130474130165,-0.9737618681036695,-91074.0
Site_179,-0.42443075873569314,-14.022956113090288,decreasing,True,0.0,-30.27097402840583,-0.9737511761183817,-91073.0
Site_180,-0.4342857142857142,-48.57428571428572,decreasing,True,0.0,-30.366366869001542,-0.9768197758959883,-91360.0
Site_181,-0.3803251283600121,-20.129772274237396,decreasing,True,0.0,-29.99542513993483,-0.9648875203147721,-90244.0
Site_182,-0.3903195617605439,-35.470974659722515,decreasing,True,0.0,-29.996751366146594,-0.9649302882559233,-90248.0
