site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1074,decreasing,True,0.0,-16.287798218711885,-0.9127394636015326,-9529.0,342199.0,-0.4157847619047619,-96.17349714285714
Site_1075,decreasing,True,0.0,-15.91344827464149,-0.8917624521072797,-9310.0,342198.0,-0.3314623205741626,-98.1247129186603
Site_1076,decreasing,True,0.0,-17.00919314401587,-0.9531609195402299,-9951.0,342199.0,-0.5252440476190475,-105.37242857142857
Site_1077,decreasing,True,0.0,-15.903144986318706,-0.8911877394636015,-9304.0,342200.0,-0.33665016501650147,-134.6511881188119
Site_1078,decreasing,True,0.0,-17.236527023223854,-0.9659003831417624,-10084.0,342200.0,-0.6009090909090908,-100.97454545454548
Site_1079,decreasing,True,0.0,-16.94249918944477,-0.9494252873563218,-9912.0,342200.0,-0.5577057416267944,-156.2851866028708
Site_108,decreasing,True,0.0,-16.535695043571504,-0.9266283524904214,-9674.0,342198.0,-0.35666666666666674,-120.94999999999999
Site_1080,decreasing,True,0.0,-16.857075242908984,-0.9446360153256705,-9862.0,342198.0,-0.5368712349397591,-105.85527108433735
Site_1081,decreasing,True,0.0,-16.927138744929163,-0.9485632183908046,-9903.0,342199.0,-0.4426157894736845,-123.2616631578947
Site_1082,decreasing,True,0.0,-15.525376093864539,-0.8700191570881226,-9083.0,342199.0,-0.2726439825235006,-151.43963325830794
Site_1083,decreasing,True,0.0,-16.790479546242935,-0.9409003831417625,-9823.0,342195.0,-0.3868878406708595,-117.13407547169813
Site_1084,decreasing,True,0.0,-13.386891998089984,-0.750191570881226,-7832.0,342196.0,-0.20914855072463734,-122.15130434782611
Site_1085,decreasing,True,0.0,-17.075837393135284,-0.9568965517241379,-9990.0,342200.0,-0.6100877260484802,-126.48368372450943
Site_1086,decreasing,True,0.0,-16.827989679366055,-0.9430076628352491,-9845.0,342199.0,-0.5386792452830189,-169.68509433962265
Site_1087,decreasing,True,0.0,-16.850237366327335,-0.9442528735632184,-9858.0,342198.0,-0.45807071960297785,-135.5189081885856
Site_1088,decreasing,True,0.0,-16.641633499066174,-0.9325670498084291,-9736.0,342200.0,-0.4187439320388346,-125.34043689320391
Site_1089,decreasing,True,0.0,-17.02628781049227,-0.9541187739463601,-9961.0,342199.0,-0.7045335968379447,-167.94358102766796
Site_109,decreasing,True,0.0,-16.961377643784918,-0.9504789272030651,-9923.0,342197.0,-0.45804951690821244,-86.20043478260871
Site_1090,decreasing,True,0.0,-14.31688776911694,-0.8022988505747126,-8376.0,342194.0,-0.2965231406861616,-126.23033387059638
