site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1102,decreasing,True,0.0,-10.50119067869068,-0.8394216133942162,-2206.0,44090.0,-0.3621833333333331,-128.4014
Site_1103,decreasing,True,0.0,-8.73422462622062,-0.6982496194824962,-1835.0,44091.0,-0.20227083333333346,-136.26825
Site_1104,decreasing,True,0.0,-11.834406797601277,-0.9459665144596652,-2486.0,44092.0,-0.5566379310344831,-141.1110344827586
Site_1105,decreasing,True,0.0,-11.182093469119964,-0.8938356164383562,-2349.0,44091.0,-0.45912518853695317,-137.6814932126697
Site_1106,decreasing,True,0.0,-10.620131361217002,-0.8489345509893456,-2231.0,44091.0,-0.3148272017837237,-142.49622073578595
Site_1107,decreasing,True,0.0,-10.701213358284788,-0.8554033485540334,-2248.0,44090.0,-0.3141176470588237,-130.73176470588234
Site_1108,decreasing,True,0.0,-11.30102508277981,-0.9033485540334856,-2374.0,44092.0,-0.4971002331002331,-161.28439160839162
Site_1109,decreasing,True,0.0,-10.905874805913424,-0.871765601217656,-2291.0,44091.0,-0.47339080459770044,-143.24793103448278
Site_111,decreasing,True,0.0,-10.382011823969984,-0.8299086757990868,-2181.0,44091.0,-0.29333333333333184,-128.86000000000004
Site_1110,decreasing,True,0.0,-11.158408054499892,-0.8919330289193302,-2344.0,44090.0,-0.4422649572649572,-143.72846153846154
Site_1111,decreasing,True,0.0,-11.567715940190544,-0.9246575342465754,-2430.0,44092.0,-0.4479772727272709,-173.78281818181824
Site_1112,decreasing,True,0.0,-11.539403634679147,-0.9223744292237442,-2424.0,44090.0,-0.49291505791505824,-115.7650579150579
Site_1113,decreasing,True,0.0,-10.681921306647752,-0.8538812785388128,-2244.0,44092.0,-0.4375,-147.88
Site_1114,decreasing,True,0.0,-11.677382106593763,-0.9334094368340944,-2453.0,44091.0,-0.5583418803418811,-100.99969230769227
Site_1115,decreasing,True,0.0,-10.487022272555265,-0.8382800608828006,-2203.0,44089.0,-0.28607954545454567,-142.58113636363635
Site_1116,decreasing,True,0.0,-11.110531613200715,-0.8881278538812786,-2334.0,44092.0,-0.38000000000000156,-123.66999999999993
Site_1117,decreasing,True,0.0,-9.9770954692051,-0.7975646879756468,-2096.0,44092.0,-0.31647058823529384,-166.15705882352944
Site_1118,decreasing,True,0.0,-11.148630307116534,-0.89117199391172,-2342.0,44092.0,-0.48544923629829295,-163.23382749326146
Site_1119,decreasing,True,0.0,-11.348648450174585,-0.9071537290715372,-2384.0,44092.0,-0.44952272727272713,-128.87718181818184
Site_112,decreasing,True,0.0,-11.296390846998532,-0.9029680365296804,-2373.0,44091.0,-0.45112698412698454,-131.70942857142853
Site_1120,decreasing,True,0.0,-11.477361695306266,-0.917427701674277,-2411.0,44091.0,-0.5694870129870131,-144.2284675324675
Site_1121,decreasing,True,0.0,-11.153519124650323,-0.8915525114155252,-2343.0,44091.0,-0.351161616161616,-120.63818181818182
Site_1122,decreasing,True,0.0,-11.958227552827688,-0.9558599695585996,-2512.0,44092.0,-0.7105527383367137,-149.5801014198783
Site_1123,decreasing,True,0.0,-9.777299076350097,-0.7815829528158296,-2054.0,44090.0,-0.4104545454545436,-138.56363636363645
Site_1124,decreasing,True,0.0,-11.172822094193757,-0.8930745814307458,-2347.0,44089.0,-0.4270046511627908,-168.58783255813955
Site_1125,decreasing,True,0.0,-11.329599103216674,-0.9056316590563166,-2380.0,44092.0,-0.40223049645390063,-170.09970212765958
Site_1126,decreasing,True,0.0,-10.839201335484258,-0.8664383561643836,-2277.0,44091.0,-0.2839339826839821,-120.46837662337664
Site_1127,decreasing,True,0.0,-11.682012021938,-0.9337899543378996,-2454.0,44092.0,-0.5915766653527792,-138.90324004729993
Site_1128,decreasing,True,0.0,-10.967661511016395,-0.8767123287671232,-2304.0,44092.0,-0.3909115448504985,-150.29718438538205
