site,slope,intercept,trend,h,p,z,Tau,s
Site_113,-0.35719163509180996,-27.979206062372498,decreasing,True,0.0,-28.29811570214445,-0.9658549783549784,-71396.0
Site_114,-0.3741868860716985,-43.196117874233906,decreasing,True,0.0,-28.396801140670142,-0.9692234848484849,-71645.0
Site_115,-0.41312499999999996,-29.370000000000005,decreasing,True,0.0,-28.464979497260163,-0.9715503246753247,-71817.0
Site_116,-0.46425498876701476,-58.24304215673317,decreasing,True,0.0,-28.62351444652699,-0.9769615800865801,-72217.0
Site_117,-0.3495041507578387,-74.14520305449497,decreasing,True,0.0,-28.278685921811345,-0.9651920995670996,-71347.0
Site_118,-0.42010169812620557,-35.690473959768525,decreasing,True,0.0,-28.3666777962632,-0.9681953463203463,-71569.0
Site_119,-0.365,-62.709999999999994,decreasing,True,0.0,-28.135203676083545,-0.9602949134199135,-70985.0
Site_120,-0.4536734693877551,-53.91469387755103,decreasing,True,0.0,-28.462999933759583,-0.971482683982684,-71812.0
Site_121,-0.5349999999999999,-67.80000000000003,decreasing,True,0.0,-28.69803458473956,-0.9795048701298701,-72405.0
Site_122,-0.35435668506015006,-63.65351646845119,decreasing,True,0.0,-28.22914316487245,-0.9635010822510822,-71222.0
Site_123,-0.4400383231774466,-22.37264194993024,decreasing,True,0.0,-28.558511450387208,-0.9747429653679653,-72053.0
Site_124,-0.4093132897111913,-64.05184837545126,decreasing,True,0.0,-28.54623102564242,-0.9743235930735931,-72022.0
Site_125,-0.4634999999999999,-43.928,decreasing,True,0.0,-28.59973735562217,-0.9761498917748918,-72157.0
Site_126,-0.4288478125831928,-55.28121998402699,decreasing,True,0.0,-28.53830980699072,-0.9740530303030303,-72002.0
Site_127,-0.4656751394251394,-52.21037323037325,decreasing,True,0.0,-28.667911240332618,-0.9784767316017317,-72329.0
Site_128,-0.37301899189918997,-81.03035355535553,decreasing,True,0.0,-28.205760150718888,-0.9627029220779221,-71163.0
Site_129,-0.37450936624649855,-67.06420168067228,decreasing,True,0.0,-28.338130987134615,-0.9672213203463204,-71497.0
