site,slope,intercept
Site_90,-0.49869306418219456,-21.280931677018643
Site_91,-0.3673177333670631,-51.14499519352388
Site_92,-0.4124073870808408,-48.057781680478556
Site_93,-0.3310960079479769,-97.83956647398844
Site_94,-0.48829064734046046,-64.3381957106316
Site_95,-0.4672272627093741,-53.69236555980018
Site_96,-0.39969500354647036,-57.3085593190777
Site_97,-0.4566310068649885,-51.776846681922194
Site_98,-0.31381737493275946,-35.45706401291018
Site_99,-0.4455504237288136,-54.72431864406781
Site_100,-0.4193843053173242,-59.79821337907376
Site_101,-0.35249365482233463,-33.211218274111744
Site_102,-0.34640487938596487,-67.26026315789476
Site_103,-0.3468,-77.40440000000001
Site_104,-0.4635091936572201,-35.60623481781374
Site_105,-0.4575617378048781,-67.13814634146343
Site_106,-0.3414166153565483,-68.63800985154272
Site_107,-0.5346198863544381,-61.33298181994786
Site_108,-0.41903281231356637,-41.90570003579525
Site_109,-0.3967703724188791,-4.880088495575222
Site_110,-0.4303411030096184,-61.39450822215328
Site_111,-0.3440836736394699,-49.565934661221775
Site_112,-0.41683453237410073,-21.377769784172656
Site_113,-0.35719163509180996,-27.979206062372498
Site_114,-0.3741868860716985,-43.196117874233906
Site_115,-0.41312499999999996,-29.370000000000005
Site_116,-0.46425498876701476,-58.24304215673317
Site_117,-0.3495041507578387,-74.14520305449497
Site_118,-0.42010169812620557,-35.690473959768525
Site_119,-0.365,-62.709999999999994
Site_120,-0.4536734693877551,-53.91469387755103
Site_121,-0.5349999999999999,-67.80000000000003
Site_122,-0.35435668506015006,-63.65351646845119
Site_123,-0.4400383231774466,-22.37264194993024
Site_124,-0.4093132897111913,-64.05184837545126
Site_125,-0.4634999999999999,-43.928
Site_126,-0.4288478125831928,-55.28121998402699
Site_127,-0.4656751394251394,-52.21037323037325
Site_128,-0.37301899189918997,-81.03035355535553
Site_129,-0.37450936624649855,-67.06420168067228
Site_130,-0.40344067906434267,-76.15938961964622
Site_131,-0.3773860013860014,-49.37188773388773
Site_132,-0.39178571428571435,-67.97714285714284
Site_133,-0.373030303030303,-69.83818181818184
Site_134,-0.414752611250136,-60.547498639973895
Site_135,-0.43710997732426304,-63.1348843537415
Site_136,-0.44310818713450306,-102.67322807017541
