Site,DecLatVa,DecLongVa,AltVa
638701.0,35.411667,-101.364167,3460.0
638811.0,35.383889,-101.310834,3438.0
646302.0,35.348889,-101.256112,3386.0
636808.0,35.38,-101.550278,3527.0
636913.0,35.39,-101.541389,3516.0
636602.0,35.43,-101.5302778,3545.0
636919.0,35.39,-101.519722,3517.0
636921.0,35.41,-101.519444,3534.0
637458.0,35.46,-101.486945,3493.0
637710.0,35.38,-101.486945,3470.0
638711.0,35.4,-101.345556,3449.0
639956.0,35.41,-101.136945,3306.0
644306.0,35.36,-101.508612,3482.0
644763.0,35.27,-101.603612,3509.0
644767.0,35.27,-101.585278,3520.0
644768.0,35.28,-101.618889,3543.0
629703.0,35.510278,-101.486667,3345.0
644959.0,35.25,-101.538889,3462.0
646304.0,35.37,-101.282222,3413.0
646552.0,35.3,-101.311389,3379.0
647554.0,35.3,-101.186389,3303.0
636712.0,35.3933333,-101.6216667,3434.0
640710.0,35.3936556,-101.0956444,3273.0
631203.0,35.591667,-101.173889,3250.0
631301.0,35.591111,-101.135834,3050.0
636707.0,35.383055,-101.607501,3551.0
636809.0,35.391111,-101.551112,3513.0
636812.0,35.384445,-101.559723,3546.0
636818.0,35.398889,-101.545278,3510.0
636912.0,35.385556,-101.541111,3516.0
637405.0,35.425278,-101.47,3510.0
638916.0,35.401112,-101.290278,3415.0
639301.0,35.481667,-101.136667,3335.0
639501.0,35.421389,-101.203334,3367.0
639605.0,35.444445,-101.145556,3312.0
644311.0,35.339167,-101.538889,3536.0
644656.0,35.3011111,-101.5058333,3513.0
645201.0,35.355001,-101.4275,3475.0
646412.0,35.302778,-101.361389,3443.0
646504.0,35.326111,-101.307223,3408.0
646601.0,35.309445,-101.274722,3391.0
636905.0,35.402778,-101.525,3534.0
639865.0,35.3997222,-101.175,3357.0
639909.0,35.405278,-101.151389,3326.0
646701.0,35.256112,-101.363056,3444.0
647604.0,35.296111,-101.141389,3311.0
652101.0,35.22,-101.600834,3522.0
652301.0,35.211667,-101.539167,3527.0
656108.0,35.243889,-101.093889,3277.0
655113.0,35.2266667,-101.2258333,3362.0
655156.0,35.222778,-101.238611,3364.0
631957.0,35.5269444,-101.1283333,3255.0
646805.0,35.2686111,-101.3019444,3412.0
654605.0,35.1930944,-101.2578917,3381.0
644102.0,35.37,-101.6122222,3594.0
630401.0,35.580278,-101.373889,3180.0
636154.0,35.483334,-101.614723,3465.0
644701.0,35.266389,-101.596111,3517.0
645104.0,35.354445,-101.490556,3468.0
645513.0,35.328055,-101.444445,3491.0
652508.0,35.208056,-101.561945,3530.0
636828.0,35.4041667,-101.5683333,3570.0
636951.0,35.3883333,-101.5052778,3504.0
630901.0,35.5325,-101.2783333,3320.0
645701.0,35.2811111,-101.4822222,3493.0
644321.0,35.35,-101.5302778,3533.0
631701.0,35.5008333,-101.2472222,3380.0
646162.0,35.3338889,-101.3375,3431.0
644618.0,35.3175,-101.5108333,3495.0
644853.0,35.2811111,-101.5491667,3510.0
639606.0,35.4319444,-101.1363889,3302.0
632713.0,35.5135194,-101.1232389,3328.0
637502.0,35.441389,-101.417778,3390.0
628102.0,35.598056,-101.589445,3315.0
628701.0,35.515834,-101.591667,3396.0
647409.0,35.3003972,-101.2151278,3356.0
638601.0,35.443056,-101.268889,3416.0
647806.0,35.262223,-101.189167,3338.0
636608.0,35.419167,-101.521389,3540.0
644205.0,35.365278,-101.556112,3538.0
646757.0,35.2725,-101.360278,3431.0
646904.0,35.278055,-101.256945,3378.0
647205.0,35.368889,-101.167778,3355.0
647308.0,35.349445,-101.163334,3346.0
636610.0,35.423333,-101.503334,3515.0
639608.0,35.4297222,-101.1491667,3326.0
1024401.0,34.69,-102.099167,3786.0
1021803.0,34.65,-102.447222,3902.0
1048302.0,34.352501,-102.038334,3601.0
1030403.0,34.55,-102.364723,3915.0
1038401.0,34.421389,-102.366112,3792.0
1030505.0,34.57,-102.314167,3882.0
1030701.0,34.51,-102.358334,3856.0
1030802.0,34.5,-102.303056,3810.0
1040502.0,34.45,-102.0708333,3703.0
1040503.0,34.43,-102.043334,3671.0
1020602.0,34.67,-102.514167,3920.0
1021404.0,34.71,-102.462778,3920.0
1021703.0,34.63,-102.485278,3937.0
1022404.0,34.7,-102.373055,3843.0
1022602.0,34.68,-102.282222,3811.0
1022703.0,34.65,-102.360834,3856.0
1024901.0,34.65,-102.008334,3707.0
1029302.0,34.61,-102.403889,3937.0
1029704.0,34.53,-102.468333,3946.0
1029912.0,34.52,-102.411389,3889.0
1030203.0,34.6,-102.311945,3872.0
1030301.0,34.61,-102.265834,3822.0
1031501.0,34.55,-102.195,3804.0
1031601.0,34.57,-102.141111,3761.0
1031803.0,34.52,-102.1775,3774.0
1032201.0,34.61,-102.0683333,3738.0
1032301.0,34.61,-102.020555,3703.0
1032502.0,34.57,-102.068889,3741.0
1032703.0,34.53,-102.1236111,3772.0
1032803.0,34.52,-102.07,3724.0
1036301.0,34.48,-102.512223,3886.0
1037101.0,34.47,-102.4613889,3865.0
1037403.0,34.42,-102.497222,3851.0
1037502.0,34.43,-102.422778,3813.0
1037701.0,34.38,-102.464723,3823.0
1038101.0,34.46,-102.352223,3802.0
1038201.0,34.47,-102.2975,3768.0
1038603.0,34.44,-102.260278,3734.0
1038703.0,34.4,-102.334722,3764.0
1039601.0,34.44,-102.155834,3711.0
1039702.0,34.38,-102.233611,3703.0
1039901.0,34.39,-102.153334,3677.0
1040301.0,34.49,-102.006389,3642.0
1045202.0,34.34,-102.418055,3794.0
1046202.0,34.36,-102.3030556,3719.0
1046304.0,34.37,-102.27,3719.0
1047102.0,34.35,-102.216667,3684.0
1047203.0,34.34,-102.185834,3686.0
1047204.0,34.36,-102.180278,3684.0
1048603.0,34.33,-102.0088889,3578.0
1045301.0,34.41,-102.036945,3796.0
1141108.0,34.36,-101.999445,3590.0
1039801.0,34.41,-102.1975,3712.0
1037601.0,34.44,-102.400834,3802.0
1022203.0,34.733611,-102.317222,3843.0
1022903.0,34.644722,-102.273889,3828.0
1031701.0,34.54,-102.22,3823.0
1021205.0,34.734722,-102.424167,3884.0
1021605.0,34.674444,-102.398334,3859.0
1046103.0,34.365556,-102.336111,3753.0
1046407.0,34.319444,-102.344445,3748.0
1023702.0,34.665278,-102.210001,3817.0
1023703.0,34.643889,-102.238889,3811.0
1028301.0,34.595834,-102.516944,3989.0
1046302.0,34.340556,-102.277778,3712.0
1032601.0,34.558889,-102.005834,3673.0
1031201.0,34.584167,-102.185,3788.0
1029201.0,34.590556,-102.456112,3953.0
1023902.0,34.657501,-102.139167,3807.0
1030607.0,34.580555,-102.266389,3834.0
1045403.0,34.328333,-102.496667,3810.0
1030103.0,34.598056,-102.355556,3900.0
1037903.0,34.3969444,-102.3977778,3792.0
1038902.0,34.404445,-102.269444,3726.0
1039102.0,34.479167,-102.226389,3773.0
1037301.0,34.484445,-102.407223,3836.0
1040102.0,34.48,-102.124444,3758.0
1040804.0,34.39,-102.053612,3653.0
1022302.0,34.724444,-102.263334,3845.0
1022801.0,34.66,-102.3147222,3838.0
1024501.0,34.69,-102.042222,3729.0
1024802.0,34.66,-102.059445,3734.0
1037102.0,34.5,-102.461112,3886.0
1040402.0,34.42,-102.107778,3689.0
1029603.0,34.567778,-102.405834,3920.0
1031.0,39.021946,-102.768267,4720.31
1027.0,38.965565,-102.298524,4211.2
1004.0,38.780294,-102.105192,3945.56
149917.0,38.856533,-102.258965,4126.0
990.0,38.944447,-102.410469,4384.1
993.0,38.913613,-102.52825,4526.86
996.0,38.811398,-102.052679,3886.54
997.0,38.790842,-102.052679,3889.0
994.0,38.864183,-102.052137,3896.58
1088.0,39.015403,-102.659277,4565.0
149871.0,38.854333,-102.237606,4122.0
998.0,38.803623,-102.109359,3962.55
149709.0,39.029324,-102.429219,4332.0
149710.0,39.024406,-102.44894,4413.0
149687.0,38.961036,-102.213236,4098.0
149688.0,39.045841,-102.239088,4224.0
1007.0,38.783908,-102.165475,4022.57
1124.0,38.857868,-102.17564,4025.0
1008.0,38.780848,-102.197698,4072.58
1108.0,39.005772,-102.07879,3960.0
1115.0,38.943668,-102.212567,4160.0
151052.0,39.044599,-102.226613,4190.0
1110.0,38.969486,-102.223115,4120.0
152187.0,39.019036,-102.480419,4451.0
149916.0,38.785865,-102.125766,3960.0
1002.0,38.863348,-102.464919,4353.84
987.0,38.903629,-102.054474,3874.25
1006.0,38.734185,-102.089629,3978.77
149870.0,38.817768,-102.382029,4322.0
149918.0,38.83461,-102.372542,4260.0
1028.0,39.002228,-102.34298,4316.74
999.0,38.830294,-102.372136,4258.74
981.0,39.026678,-102.204641,4176.67
984.0,38.943901,-102.113242,3911.88
