site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1057,decreasing,True,0.0,-8.529538551263041,-0.6818873668188736,-1792.0,44090.0,-0.18167681498829047,-76.12963466042154
Site_1058,decreasing,True,0.0,-11.344014754447937,-0.9067732115677322,-2383.0,44091.0,-0.46224747474747463,-118.3990909090909
Site_1059,decreasing,True,0.0,-11.39678878424238,-0.910958904109589,-2394.0,44088.0,-0.58,-85.66000000000001
Site_106,decreasing,True,0.0,-10.815266735353118,-0.8645357686453576,-2272.0,44092.0,-0.35999999999999943,-108.98000000000002
Site_1060,decreasing,True,1.7763568394002505e-15,-7.9578646916666935,-0.6362252663622526,-1672.0,44092.0,-0.2836798245614035,-94.93752631578948
Site_1061,decreasing,True,0.0,-10.782052646544974,-0.8618721461187214,-2265.0,44091.0,-0.359048152295633,-72.56426651735721
Site_1062,decreasing,True,0.0,-10.934449150383067,-0.874048706240487,-2297.0,44091.0,-0.44597712418300656,-101.20482352941177
Site_1063,decreasing,True,0.0,-11.024809551890122,-0.8812785388127854,-2316.0,44092.0,-0.33212862318840575,-109.90336956521739
Site_1064,decreasing,True,0.0,-10.543933109297956,-0.8428462709284628,-2215.0,44091.0,-0.3970479302832244,-87.62627450980392
Site_1065,decreasing,True,0.0,-10.534408327808075,-0.8420852359208524,-2213.0,44091.0,-0.3605370370370372,-129.23066666666668
Site_1066,decreasing,True,0.0,-10.60108179823724,-0.8474124809741248,-2227.0,44091.0,-0.37372413793103487,-122.53593103448276
Site_1067,decreasing,True,0.0,-9.0297659210591,-0.721841704718417,-1897.0,44088.333333333336,-0.17449999999999977,-139.54800000000003
Site_1068,decreasing,True,0.0,-9.920172418917318,-0.7929984779299848,-2084.0,44090.0,-0.3435916289592758,-79.85070135746606
Site_1069,decreasing,True,0.0,-11.78215470298245,-0.9417808219178082,-2475.0,44091.0,-0.5919433962264145,-71.50003773584908
Site_107,decreasing,True,0.0,-11.458312132326505,-0.9159056316590564,-2407.0,44091.0,-0.588903290129611,-121.779481555334
Site_1070,decreasing,True,0.0,-10.477734927366535,-0.8375190258751902,-2201.0,44087.0,-0.2957072368421052,-108.40453947368421
Site_1071,decreasing,True,0.0,-10.648705705686645,-0.8512176560121766,-2237.0,44091.0,-0.37399999999999906,-110.62600000000003
Site_1072,decreasing,True,0.0,-11.2819757358219,-0.9018264840182648,-2370.0,44092.0,-0.6044006147540983,-77.13157786885246
Site_1073,decreasing,True,0.0,-10.572747250260077,-0.8451293759512938,-2221.0,44089.0,-0.4512128205128203,-104.42633846153848
Site_1074,decreasing,True,0.0,-9.862799387457644,-0.7884322678843226,-2072.0,44092.0,-0.3808391608391608,-72.95979020979021
Site_1075,decreasing,True,0.0,-10.134597364213263,-0.8101217656012176,-2129.0,44089.0,-0.38509259259259243,-78.93666666666667
Site_1076,decreasing,True,0.0,-10.963023494852708,-0.8763318112633182,-2303.0,44091.0,-0.43692592592592616,-78.91066666666666
Site_1077,decreasing,True,0.0,-9.205596917409766,-0.7359208523592086,-1934.0,44092.0,-0.2434665763324301,-106.25520325203252
Site_1078,decreasing,True,0.0,-10.658230487176525,-0.851978691019787,-2239.0,44091.0,-0.31142045454545464,-80.04886363636363
Site_1079,decreasing,True,0.0,-11.377222470611448,-0.9094368340943684,-2390.0,44092.0,-0.41471579476861203,-130.45023138832997
Site_108,decreasing,True,0.0,-10.101145319502463,-0.8074581430745814,-2122.0,44090.0,-0.3034057971014492,-92.97739130434783
Site_1080,decreasing,True,0.0,-10.577149898379249,-0.845509893455099,-2222.0,44092.0,-0.4157215909090911,-84.04402272727273
Site_1081,decreasing,True,0.0,-10.686804831646167,-0.854261796042618,-2245.0,44091.0,-0.4613371290545203,-99.80186335403727
Site_1082,decreasing,True,0.0,-11.481993878879951,-0.9178082191780822,-2412.0,44092.0,-0.6207142857142895,-97.26428571428558
Site_1083,decreasing,True,0.0,-11.620233417654477,-0.9288432267884322,-2441.0,44091.0,-0.6082555780933063,-86.92279918864097
Site_1084,decreasing,True,0.0,-11.13910563363758,-0.8904109589041096,-2340.0,44092.0,-0.42510000000000003,-104.18639999999999
Site_1085,decreasing,True,0.0,-11.73916006281173,-0.9383561643835616,-2466.0,44092.0,-0.6288512241054616,-82.51135593220339
Site_1086,decreasing,True,0.0,-11.234607170535742,-0.898021308980213,-2360.0,44090.0,-0.5544444444444454,-134.26999999999995
Site_1087,decreasing,True,0.0,-11.805832777164412,-0.943683409436834,-2480.0,44092.0,-0.5641287878787878,-94.61136363636363
Site_1088,decreasing,True,0.0,-11.853456144559186,-0.9474885844748858,-2490.0,44092.0,-0.5873940677966101,-82.07381355932203
Site_1089,decreasing,True,0.0,-10.748837805807195,-0.8592085235920852,-2258.0,44090.0,-0.36333333333333384,-144.07
Site_109,decreasing,True,0.0,-9.834448413376986,-0.7861491628614916,-2066.0,44090.0,-0.27918333333333334,-64.4794
Site_1090,decreasing,True,0.0,-9.639078867759288,-0.7705479452054794,-2025.0,44091.0,-0.3138480392156865,-97.82147058823529
Site_1091,decreasing,True,0.0,-12.110622328490964,-0.9680365296803652,-2544.0,44092.0,-0.8192249999999998,-79.62790000000001
Site_1092,decreasing,True,0.0,-11.510567899316815,-0.9200913242009132,-2418.0,44092.0,-0.4910571808510636,-123.1719414893617
Site_1093,decreasing,True,0.0,-11.13910563363758,-0.8904109589041096,-2340.0,44092.0,-0.4066666666666663,-106.28000000000002
Site_1094,decreasing,True,0.0,-11.291500409300856,-0.9025875190258752,-2372.0,44092.0,-0.5139999999999993,-129.31600000000003
Site_1095,decreasing,True,0.0,-11.639282980634238,-0.930365296803653,-2445.0,44091.0,-0.5908333333333337,-96.60999999999999
Site_1096,decreasing,True,0.0,-11.472469205400996,-0.9170471841704718,-2410.0,44092.0,-0.4550000000000002,-67.77999999999999
Site_1097,decreasing,True,0.0,-11.086845654221158,-0.8862252663622526,-2329.0,44091.0,-0.46192518874399446,-121.64069320521621
Site_1098,decreasing,True,0.0,-11.143994343160442,-0.8907914764079148,-2341.0,44091.0,-0.5246148574561404,-79.32386513157894
Site_1099,decreasing,True,2.003042176568215e-11,-6.705801054979155,-0.5361491628614916,-1409.0,44086.333333333336,-0.13917678812415657,-73.32963562753037
Site_11,decreasing,True,0.0,-11.310806286571594,-0.9041095890410958,-2376.0,44090.0,-0.4643379790940767,-101.87383275261324
Site_110,decreasing,True,0.0,-10.496309201848552,-0.839041095890411,-2205.0,44091.0,-0.4437354838709679,-106.84552258064515
Site_1100,decreasing,True,0.0,-9.886723186496187,-0.7903348554033486,-2077.0,44091.0,-0.5700000000000007,-100.01999999999998
Site_1101,decreasing,True,0.0,-10.686804831646167,-0.854261796042618,-2245.0,44091.0,-0.32067982456140365,-90.85552631578948
Site_1102,decreasing,True,0.0,-10.3248631350307,-0.8253424657534246,-2169.0,44091.0,-0.2963223938223936,-99.82239382239382
Site_1103,decreasing,True,0.0,-11.410688224877102,-0.9121004566210046,-2397.0,44091.0,-0.686423611111111,-66.19874999999999
Site_1104,decreasing,True,0.0,-11.529878745174665,-0.921613394216134,-2422.0,44090.0,-0.5941960093896712,-86.39894366197184
Site_1105,decreasing,True,0.0,-10.072342203994648,-0.8051750380517504,-2116.0,44092.0,-0.3056738437001594,-98.98574162679427
