site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1108,decreasing,True,0.0,-16.175020687915026,-0.9064176245210728,-9463.0,342197.0,-0.35201010101010155,-78.10527272727269
Site_1109,decreasing,True,0.0,-16.4860963498381,-0.9238505747126436,-9645.0,342199.0,-0.5366666666666665,-63.60000000000001
Site_111,decreasing,True,0.0,-16.340767808687577,-0.9157088122605364,-9560.0,342200.0,-0.3766666666666666,-58.500000000000014
Site_1110,decreasing,True,0.0,-17.007458827140148,-0.9530651340996169,-9950.0,342200.0,-0.5017334167709637,-36.49519399249061
Site_1111,decreasing,True,0.0,-16.568150748924808,-0.928448275862069,-9693.0,342199.0,-0.47563858695652167,-73.47402173913044
Site_1112,decreasing,True,0.0,-14.987003590668444,-0.8398467432950192,-8768.0,342194.0,-0.2044967454194792,-79.7262343297975
Site_1113,decreasing,True,0.0,-16.56142580919446,-0.9280651340996169,-9689.0,342194.3333333333,-0.36961538461538457,-65.40769230769232
Site_1114,decreasing,True,0.0,-16.255342103723915,-0.9109195402298851,-9510.0,342198.0,-0.4582554347826088,-26.72560869565217
Site_1115,decreasing,True,0.0,-15.67580915885684,-0.878448275862069,-9171.0,342199.0,-0.22690506598552568,-85.35283524904214
Site_1116,decreasing,True,0.0,-15.947699795964198,-0.8936781609195402,-9330.0,342195.3333333333,-0.409590732519423,-50.369467258601546
Site_1117,decreasing,True,0.0,-16.058776616177738,-0.899904214559387,-9395.0,342197.0,-0.27720000000000017,-106.28159999999998
Site_1118,decreasing,True,0.0,-16.855341145728293,-0.9445402298850575,-9861.0,342199.0,-0.5128102564102562,-91.36766153846153
Site_1119,decreasing,True,0.0,-16.1100607654736,-0.9027777777777778,-9425.0,342197.0,-0.2786282416192283,-64.21876660341556
Site_112,decreasing,True,0.0,-16.159611831580836,-0.9055555555555556,-9454.0,342198.0,-0.3740832693046485,-48.0860046100653
Site_1120,decreasing,True,0.0,-16.744201348058876,-0.9383141762452107,-9796.0,342200.0,-0.4587907268170426,-47.68706766917293
Site_1121,decreasing,True,0.0,-16.02973902005999,-0.8982758620689655,-9378.0,342196.0,-0.40926846590909094,-52.25267045454545
Site_1122,decreasing,True,0.0,-16.604122331432514,-0.9304597701149425,-9714.0,342196.0,-0.45038896569058695,-69.26199447027773
Site_1123,decreasing,True,0.0,-16.414346717962385,-0.9198275862068965,-9603.0,342197.0,-0.3587666378565255,-71.09880207433017
Site_1124,decreasing,True,0.0,-16.46558275006642,-0.9227011494252874,-9633.0,342199.0,-0.38346428571428576,-95.02057142857143
Site_1125,decreasing,True,0.0,-16.72200274721239,-0.9370689655172414,-9783.0,342199.0,-0.37980936819172106,-80.91372549019609
Site_1126,decreasing,True,0.0,-15.334005449989728,-0.8592911877394636,-8971.0,342195.0,-0.27386522568340754,-68.81170375079466
Site_1127,decreasing,True,0.0,-15.785307282631567,-0.8845785440613027,-9235.0,342195.0,-0.30828361063300824,-74.9735800344234
Site_1128,decreasing,True,0.0,-17.021134540339176,-0.9538314176245211,-9958.0,342200.0,-0.6133143939393938,-54.30136363636364
Site_1129,decreasing,True,0.0,-17.0826752497348,-0.95727969348659,-9994.0,342200.0,-0.5752941176470587,-66.95882352941177
Site_113,decreasing,True,0.0,-15.723781440232312,-0.8811302681992337,-9199.0,342194.3333333333,-0.29308964646464647,-51.68754545454546
Site_1130,decreasing,True,0.0,-16.523704616086174,-0.9259578544061303,-9667.0,342199.0,-0.4168504962779156,-95.11676426799008
Site_1131,decreasing,True,0.0,-16.71694762473783,-0.9367816091954023,-9780.0,342196.0,-0.4208951465201465,-67.75554945054945
Site_1132,decreasing,True,0.0,-16.427974483818346,-0.9205938697318008,-9611.0,342199.0,-0.47422491423670665,-40.04580617495712
Site_1133,decreasing,True,0.0,-16.29295042492298,-0.9130268199233716,-9532.0,342198.0,-0.3739907407407406,-74.10266666666668
Site_1134,decreasing,True,0.0,-17.057207748422996,-0.9558429118773947,-9979.0,342193.0,-0.5273639455782313,-85.67979591836735
Site_1135,decreasing,True,0.0,-15.657027902829672,-0.8773946360153256,-9160.0,342198.0,-0.30241404428904434,-53.2461888111888
Site_1136,decreasing,True,0.0,-16.822885860000742,-0.94272030651341,-9842.0,342198.0,-0.5190152389748326,-76.72090279381206
Site_1137,decreasing,True,0.0,-16.964747011177238,-0.9506704980842912,-9925.0,342199.0,-0.495,-87.22
Site_1138,decreasing,True,0.0,-16.62116850084211,-0.9314176245210728,-9724.0,342198.0,-0.44004716981132097,-42.01660377358489
Site_1139,decreasing,True,0.0,-16.67418640772809,-0.9343869731800766,-9755.0,342197.0,-0.4803126007089913,-74.14749274895263
Site_114,decreasing,True,0.0,-15.952742755774485,-0.8939655172413793,-9333.0,342199.0,-0.3351398601398601,-70.79993006993008
Site_1140,decreasing,True,0.0,-15.263849999384881,-0.8553639846743295,-8930.0,342198.0,-0.39352941176470574,-50.41588235294118
Site_1141,decreasing,True,0.0,-16.226257419396852,-0.9092911877394636,-9493.0,342199.0,-0.34639116575591977,-71.89983606557378
Site_1142,decreasing,True,0.0,-16.02627323823869,-0.8980842911877395,-9376.0,342198.0,-0.35889566395663963,-64.54951219512195
Site_1143,decreasing,True,0.0,-16.533961415972012,-0.9265325670498085,-9673.0,342199.0,-0.43115785554728214,-84.58663440059568
Site_1144,decreasing,True,0.0,-16.202324886329894,-0.9079501915708812,-9479.0,342199.0,-0.4314760348583878,-72.38372549019608
Site_1145,decreasing,True,0.0,-16.739146330169515,-0.9380268199233717,-9793.0,342197.0,-0.4554903813122638,-63.444692545517
Site_1146,decreasing,True,0.0,-15.578392322140713,-0.8729885057471264,-9114.0,342198.0,-0.35581059942435245,-88.88163684144662
Site_1147,decreasing,True,0.0,-16.674137681078474,-0.9343869731800766,-9755.0,342199.0,-0.413466977342118,-59.4203776313675
Site_1148,decreasing,True,0.0,-16.144297376778482,-0.9046934865900383,-9445.0,342195.0,-0.30109621848739493,-66.71107226890757
Site_1149,decreasing,True,0.0,-17.00750852770525,-0.9530651340996169,-9950.0,342198.0,-0.4774553429027114,-64.03321531100477
Site_115,decreasing,True,0.0,-16.848503279137734,-0.9441570881226053,-9857.0,342199.0,-0.4613043478260869,-47.54608695652175
Site_1150,decreasing,True,0.0,-15.448578006117996,-0.8657088122605364,-9038.0,342193.3333333333,-0.3308596059113301,-41.11810837438423
Site_1151,decreasing,True,0.0,-16.63657803157779,-0.93227969348659,-9733.0,342197.0,-0.35159710144927514,-112.44500869565218
Site_1152,decreasing,True,0.0,-16.665614698622825,-0.9339080459770115,-9750.0,342198.0,-0.45884033613445363,-86.35349579831933
Site_1153,decreasing,True,0.0,-16.479306640403813,-0.9234674329501916,-9641.0,342197.0,-0.32607492997198884,-60.6526050420168
Site_1154,decreasing,True,0.0,-15.872374631620895,-0.8894636015325671,-9286.0,342200.0,-0.3750177304964539,-54.00872340425532
Site_1155,decreasing,True,0.0,-16.31866399393556,-0.914463601532567,-9547.0,342195.0,-0.4300000000000005,-51.86999999999996
Site_1156,decreasing,True,0.0,-16.55620867331645,-0.9277777777777778,-9686.0,342198.0,-0.44325427468284606,-57.695692222835085
Site_1157,decreasing,True,0.0,-16.31346405466793,-0.9141762452107279,-9544.0,342198.0,-0.3785770528683914,-71.25245219347582
Site_1158,decreasing,True,0.0,-16.363062568666525,-0.9169540229885057,-9573.0,342197.0,-0.36132525083612044,-73.92458193979932
Site_1159,decreasing,True,0.0,-17.086094178034557,-0.957471264367816,-9996.0,342200.0,-0.533449494949495,-85.09163636363635
Site_116,decreasing,True,0.0,-16.89468356410805,-0.9467432950191571,-9884.0,342198.0,-0.4781191037735848,-83.45542452830189
Site_1160,decreasing,True,0.0,-16.248504227142266,-0.910536398467433,-9506.0,342198.0,-0.37293400286944045,-63.90875179340029
Site_1161,decreasing,True,0.0,-16.525389936874443,-0.9260536398467433,-9668.0,342200.0,-0.42712946817785546,-105.5566782911944
