SiteNo;DecLatVa;DecLongVa;AltVa
1010701;34.79;-102.846389;4106
1011802;34.76;-102.691111;4024
1012203;34.87;-102.573889;3922
1012302;34.85;-102.506112;3899
1012404;34.81;-102.602501;3948
1012504;34.82;-102.546667;3932
1012703;34.77;-102.605834;3951
1013404;34.79;-102.471667;3878
1013405;34.82;-102.496111;3884
1013806;34.78;-102.445834;3866
1014207;34.85;-102.295278;3762
1014405;34.81;-102.345278;3802
1014513;34.79;-102.293056;3818
1010301;34.8341667;-102.7655556;4094
1010702;34.756945;-102.858056;4105
1014206;34.871667;-102.303612;3775
1013307;34.8475;-102.404445;3830
1004603;34.925278;-102.523611;4002
1003101;34.96;-102.74;4195
1003702;34.903056;-102.710556;4142
758901;35.010001;-102.782222;4176
760302;35.123611;-102.511945;4071
1014901;34.777222;-102.282222;3838
1012105;34.847778;-102.599167;3958
1021201;34.749722;-102.424167;3879
1011404;34.793611;-102.708612;4037
1009401;34.815556;-102.989722;4339
1001302;34.9802778;-102.9130556;4303
1004901;34.895555;-102.527777;3947
752502;35.1672222;-102.5588889;4103
759301;35.0947222;-102.6341667;4174
1002301;34.9747222;-102.7544444;4212
763202;35.094722;-102.202778;3841
759802;35;-102.7025;4135
763401;35.06;-102.214167;3831
1007501;34.94;-102.199722;3802
750701;35.13;-102.8369444;4233
751902;35.13;-102.6480556;4153
760202;35.09;-102.578611;4115
760301;35.11;-102.506667;4064
760401;35.06;-102.615001;4128
761815;35.02;-102.455834;4007
761902;35.01;-102.398056;3929
762101;35.09;-102.348056;3936
1002901;34.9;-102.7630556;4215
1003201;34.98;-102.671111;4141
1003501;34.92;-102.692222;4153
1005502;34.93;-102.455556;3928
